longitude,latitude,station_name
141.43359375,40.512199401855504,'HACHINOHE'
141.2841990661556,40.253459449765984,'NINOHE'
141.2223595486909,39.96241585482455,'IWATENUMAKUNAI'
141.14149475097702,39.69653320312504,'MORIOKA'
140.482299804688,39.46413040161129,'OMAGARI'
140.12950134277304,39.711067199707024,'AKITA'
141.17341613769503,39.405055999755874,'SHINHANAMAKI'
141.12359619140602,39.2812004089355,'KITAKAMI'
141.18949890136696,39.14566421508791,'MIZUSAWAESASHI'
141.13905334472696,38.92284393310554,'ICHINOSEKI'
141.07020026675804,38.746046096495526,'KURIKOMAKOGEN'
140.96859741210903,38.57106781005861,'FURUKAWA'
140.88240051269497,38.25953292846684,'SENDAI'
140.62971572816951,37.990699478468045,'SHIROISHIZAO'
140.45829772949202,37.75433349609384,'FUKUSHIMA'
140.1274916711277,37.914441520287795,'YONEZAWA'
140.32789611816403,38.24800109863277,'YAMAGATA'
140.30793498871503,38.7541915481899,'SHINJO'
140.38830566406304,37.3934669494629,'KORIYAMA'
140.18642536696984,37.119950607501245,'SHINSHIRAKAWA'
140.02059936523398,36.93233108520514,'NASUSHIOBARA'
139.89880371093798,36.55866622924801,'UTSUNOMIYA'
139.80467153069728,36.31014752668296,'OYAMA'
139.62240600585903,35.906200408935455,'OMIYA'
139.7720473090956,35.7280193290898,'UENO'
139.76519775390602,35.67526626586909,'TOKYO'
139.39019775390602,36.137599945068395,'KUMAGAYA'
139.1799661206526,36.218325471921474,'HONJOWASEDA'
139.01338899970347,36.32027654749997,'TAKASAKI'
138.85820455922442,36.364323191754266,'ANNAKAHARUNA'
138.6299285992859,36.340895217785345,'KARUIZAWA'
138.45680236816398,36.27453231811516,'SAKUDAIRA'
138.2536375267466,36.39565445721468,'UEDA'
138.19039916992202,36.64226531982423,'NAGANO'
139.061294555664,37.91126632690426,'NIIGATA'
138.93989562988304,37.64839935302728,'TSUBAMESANJO'
138.8547495954069,37.448962379563156,'NAGAOKA'
138.92019653320304,37.16733169555663,'URASA'
138.80790710449196,36.93486785888666,'ECHIGOYUZAWA'
138.97680664062497,36.69166564941408,'JOMOKOGEN'
139.74040222168,35.63093185424801,'SHINAGAWA'
139.61810302734403,35.506931304931584,'SHINYOKOHAMA'
139.15310668945295,35.256866455078054,'ODAWARA'
139.07562615177625,35.10425892884005,'ATAMI'
138.90989685058602,35.12680053710941,'MISHIMA'
138.66450500488298,35.14246749877927,'SHINFUJI'
138.39059448242202,34.97093200683594,'SHIZUOKA'
138.01600240306294,34.76764214020078,'KAKEGAWA'
