TeamName,PlayerName,Position,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSPerMin,GoldPerMin,KP%,DamagePercent,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim,Penta Kills,Solo Kills,Country,FlashKeybind
PaiN Gaming,titan,Adc,4,0.0,1.8,1.8,3.0,3.8,9.5,385,0.505,0.243,463,1.06,0.45,0.27,0.2,-820,-12,-797,0.25,0.0,0,1,Brazil,F
Team Liquid,umti,Jungle,10,0.5,3.8,2.4,2.4,6.6,6.1,346,0.672,0.15,349,1.69,0.47,0.38,0.32,20,4,51,0.6,0.2,0,1,South Korea,F
Hanwha Life Esports,viper,Adc,12,0.5,4.2,5.6,2.5,5.0,10.5,465,0.755,0.337,782,1.41,0.43,0.42,0.14,261,8,39,0.5,0.0,0,2,South Korea,F
Bilibili Gaming,wei,Jungle,3,0.3329999999999999,3.1,1.0,4.0,11.3,5.5,330,0.8059999999999999,0.171,440,1.74,0.49,0.43,0.43,186,-4,168,0.667,0.0,0,-,China,F
LNG Esports,weiwei,Jungle,8,0.625,3.9,2.3,3.3,10.5,6.0,337,0.777,0.133,294,1.72,0.53,0.38,0.32,77,7,257,0.5,0.0,0,-,China,D
PaiN Gaming,wizer,Top,4,0.0,1.6,3.0,3.3,2.3,8.1,371,0.5429999999999999,0.206,394,0.96,0.3,0.31,0.16,-319,0,-525,0.0,0.0,0,-,South Korea,F
PSG Talon,woody,Support,5,0.2,3.3,1.0,3.2,9.6,1.0,237,0.8059999999999999,0.052,128,3.47,2.03,0.33,0.56,-21,1,109,0.8,0.0,0,-,Taiwan,F
Weibo Gaming,xiaohu,Mid,13,0.615,6.2,3.8,1.9,8.1,8.5,413,0.767,0.2739999999999999,638,1.44,0.5,0.42,0.17,221,-4,-135,0.077,0.077,0,1,China,D
Bilibili Gaming,xun,Jungle,9,0.778,5.3,2.4,2.4,10.6,6.2,358,0.738,0.15,391,1.58,0.37,0.41,0.35,93,1,1,0.444,0.0,0,-,China,D
Team Liquid,yeon,Adc,10,0.5,4.9,3.8,1.8,5.0,10.0,448,0.675,0.316,731,1.37,0.42,0.41,0.16,224,6,571,0.5,0.0,0,-,United States,D
G2 Esports,yike,Jungle,8,0.375,4.5,3.1,2.4,7.6,6.4,360,0.762,0.184,422,1.89,0.65,0.45,0.22,102,4,-80,0.25,0.0,0,2,Sweden,D
Hanwha Life Esports,zeka,Mid,12,0.5,3.6,3.8,2.8,6.2,9.1,417,0.705,0.283,657,1.35,0.47,0.31,0.24,288,2,66,0.25,0.1669999999999999,0,1,South Korea,F
T1,zeus,Top,8,0.875,7.1,3.9,1.6,7.6,7.9,420,0.698,0.222,539,1.06,0.39,0.18,0.19,633,8,370,0.125,0.0,0,2,South Korea,F
LNG Esports,zika,Top,8,0.625,3.8,4.6,3.1,7.1,8.2,431,0.71,0.246,560,1.05,0.46,0.18,0.19,321,-2,-95,0.375,0.125,0,2,China,D
